País,Total,Aérea,Marítima,Região,Continente,Ano,viagens_country,indicators_country,CountryID,Country,Year,AMA exchange rate,IMF based exchange rate,Population,Currency,Per capita GNI,"Agric, hunt, forest, fish (ISIC A-B)",Changes in inventories,Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General gov final consumption expenditure,Gross capital formation,Gross fixed capital formation,Household consumption,Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and comms (ISIC I)","Wholesale, retail, restaurants, hotels",GNI (USD),Gross Domestic Product (GDP),travels_per_capita,travels_per_1000_people
Africa do Sul,3545,3012,533,África,África,2006,Africa do Sul,South Africa,710.0,South Africa,2006,6.771549167,6.771549167,49491756.0,Rand,6036.0,6232074664.0,3417386396.0,7757279569.0,79301794432.0,241000000000.0,48194234471.0,56184083573.0,52766697178.0,193000000000.0,84077363390.0,47388417643.0,67779349851.0,128000000000.0,275000000000.0,29506985046.0,35255152717.0,299000000000.0,304000000000.0,7.162809094912696e-05,0.07162809094912696
Angola,21662,21606,56,África,África,2006,Angola,Angola,24.0,Angola,2006,80.36807206,80.36807206,20162340.0,Kwanza,2291.0,2719245779.0,708776490.0,3591382249.0,33245117516.0,23251235873.0,8036151465.0,12205182667.0,11496406177.0,15215084408.0,16320510950.0,2209968430.0,26846881098.0,11246575957.0,52620646396.0,1653528942.0,6563032372.0,46190415184.0,52381025105.0,0.0010743792635180241,1.074379263518024
Cabo Verde,2407,2407,0,África,África,2006,Cabo Verde,Cabo Verde,132.0,Cabo Verde,2006,87.90071969,87.90071969,498884.0,Cabo Verde Escudo,2423.0,124287975.0,44254951.0,136265308.0,435785155.0,1045461859.0,213397203.0,508052638.0,463797687.0,832064656.0,752339009.0,61779678.0,93373681.0,353137434.0,1103741465.0,210715541.0,185961525.0,1208831145.0,1259964147.0,0.004824768884149421,4.824768884149421
Nigeria,238,233,5,África,África,2006,Nigeria,Nigeria,566.0,Nigeria,2006,128.6516667,128.6516667,144329764.0,Naira,1609.0,58400314551.0,4011609900.0,7182820243.0,69688780878.0,131000000000.0,12102319480.0,65791774230.0,61780164330.0,119000000000.0,30812602209.0,20901990203.0,53617832693.0,53104741961.0,234000000000.0,19185663662.0,42193608841.0,232000000000.0,236000000000.0,1.649001518494827e-06,0.001649001518494827
Outros,1900,1783,117,África,África,2006,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,613,600,13,Am Central e Caribe,América,2006,Costa Rica,Costa Rica,188.0,Costa Rica,2006,511.3018179,511.3018179,4378172.0,Costa Rican Colon,5036.0,1914686960.0,180019382.0,975644534.0,9838019975.0,18647760021.0,2990207136.0,4789231986.0,4609212604.0,15657552885.0,10561773767.0,3744499722.0,4411905575.0,8418272980.0,20516295287.0,1614721376.0,3181063863.0,22050606334.0,22713238215.0,0.00014001277245389172,0.1400127724538917
Panama,314,293,21,Am Central e Caribe,América,2006,Panama,Panama,591.0,Panama,2006,1.0,1.0,3368573.0,Balboa,4628.0,1008285538.0,200100000.0,810600847.0,13146600000.0,12561900000.0,2116300000.0,3335000000.0,3134900000.0,10445600000.0,11906400000.0,1121395418.0,1805292606.0,7015540460.0,16447266712.0,2916655564.0,2890891697.0,15591000000.0,17413362943.0,9.321454515012737e-05,0.09321454515012736
Porto Rico,345,290,55,Am Central e Caribe,América,2006,Porto Rico,Puerto Rico,630.0,Puerto Rico,2006,1.0,1.0,3791559.0,US Dollar,15259.0,515600000.0,377830000.0,2052900000.0,72624900000.0,60478431000.0,10329602000.0,12211212000.0,11833382000.0,50148829000.0,58038400000.0,36709500000.0,38844600000.0,33113800000.0,87054700000.0,3035800000.0,9492000000.0,57854300000.0,87276164365.0,9.099159475033885e-05,0.09099159475033884
Outros,3191,2363,828,Am Central e Caribe,América,2006,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,15305,13828,1477,América do Norte,América,2006,Canada,Canada,124.0,Canada,2006,1.134363333,1.134363333,32531867.0,Canadian Dollar,39910.0,22415216759.0,9376184585.0,77269775410.0,467000000000.0,972000000000.0,254000000000.0,311000000000.0,302000000000.0,718000000000.0,431000000000.0,166000000000.0,300000000000.0,578000000000.0,1230000000000.0,96213441314.0,156000000000.0,1300000000000.0,1320000000000.0,0.0004704617782926507,0.4704617782926507
Estados Unidos,168656,157880,10776,América do Norte,América,2006,Estados Unidos,United States,840.0,United States,2006,1.0,1.0,299753098.0,US Dollar,46927.0,126000000000.0,68989000000.0,697000000000.0,1470000000000.0,11400000000000.0,2070000000000.0,3250000000000.0,3180000000000.0,9280000000000.0,2260000000000.0,1790000000000.0,2330000000000.0,7330000000000.0,13800000000000.0,1280000000000.0,2060000000000.0,14100000000000.0,13800000000000.0,0.0005626497311463983,0.5626497311463984
